w,0.0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1.0
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
0.025,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
0.05,,,1.0,,2.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,998.0,,838.0,,,,,981.0,,,997.0,
0.075,,,,,,,,,,,,,,,,,,,,,881.0,,,,,,,945.0,783.0,,850.5,913.0,751.0,802.0,991.0,998.0,914.0,,966.5,,894.0
0.1,,,,,,,,,,,,,,,,,1.0,,,,981.0,,952.0,840.0,980.0,,753.5,801.0,868.0,869.5,924.0,936.5,976.0,920.4,955.6666666666666,815.0,871.3333333333334,892.1666666666666,932.25,872.5714285714286,916.8
0.125,,,,,,,,,,,,,,,,,814.0,948.0,842.0,766.0,934.5,942.2,909.2857142857143,852.4,877.3333333333334,913.0,848.1428571428571,891.8571428571429,854.3333333333334,935.8333333333334,903.5,860.375,916.25,868.6666666666666,899.0,847.2,913.0833333333334,888.9,887.9090909090909,908.9285714285714,860.6
0.15,0.0,,,,,,,,,,,,,,,955.0,,862.2,930.5,942.75,892.2857142857143,828.75,922.75,854.4666666666667,918.2857142857143,863.8333333333334,854.0,882.4666666666667,875.0625,893.6875,881.7272727272727,858.7777777777778,896.3125,852.85,865.2692307692307,853.6,873.88,878.15,851.2666666666667,877.04,873.7179487179487
0.175,,,2.0,,,,,,,,,,830.0,932.0,856.6666666666666,965.0,786.0,895.8,904.2857142857143,827.5,898.6,875.5833333333334,904.1578947368421,862.0625,878.0,921.3571428571429,877.6428571428571,876.55,915.2608695652174,865.625,841.1379310344828,877.9090909090909,861.5769230769231,888.71875,856.625,885.4117647058823,837.9354838709677,858.5945945945946,833.7948717948718,875.9215686274509,864.9454545454546
0.2,,,,0.0,,,,,,978.0,908.5,,985.0,859.5,894.3333333333334,907.5,851.5714285714286,873.6,860.4,891.0555555555555,911.6315789473684,873.2666666666667,895.0454545454545,867.6818181818181,885.5925925925926,867.2962962962963,840.6470588235294,863.1842105263158,866.4615384615385,864.3939393939394,885.3720930232558,831.9024390243902,864.5416666666666,874.8163265306123,837.5238095238095,813.8918918918919,862.0862068965517,858.3529411764706,869.4262295081967,840.0847457627119,833.4264705882352
0.225,,,,,,,,,974.0,,940.25,862.0,896.8333333333334,850.3333333333334,843.1428571428571,838.8,909.0,852.7857142857143,868.4347826086956,884.1428571428571,860.1052631578947,874.6666666666666,849.0555555555555,852.4285714285714,846.8484848484849,864.9722222222222,861.6829268292682,846.5897435897435,860.4285714285714,837.6666666666666,844.1864406779661,846.3050847457627,838.9032258064516,849.2222222222222,815.8732394366198,832.125,796.6575342465753,818.4558823529412,838.375,812.3857142857142,825.8170731707318
