w,0.0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1.0
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107.9072636409664
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.6701552368763,,3144.105891166631,2662.558838200932,3381.710452170487,2305.6652595879964,2232.8904965982942
0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711.8047873228184,2167.612278317121,2227.5342290987783,2553.418054835037,2429.4752359417985,2372.026534213257,1757.7919467269246,1887.4697078783172,1319.2681099526112,1759.310182552639,1734.1302976792142,1530.763092220157,1816.685064234716
0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1821.988974200074,,1979.6520239107447,1998.2668110335583,2186.6653534058146,1832.7193213872008,1470.8207711398315,1549.0390429383522,1955.2357943131253,1675.1617533890064,1295.1187376785365,1699.7815382276337,1799.8162586924245,1844.1133618874355,1326.2670337062755,1227.888400709189
0.275,,,,,,,,,,,,,,,,,,,,,,,,2026.6544910554305,1829.0865090790062,1919.0491486386377,1820.8991283618018,1651.1996802191195,1571.9717910554048,1568.4845263388263,1421.8967514233955,1526.3709984866696,1878.6277011728803,1107.3925054520066,1622.420425765817,1510.1719953372658,1426.1905603138011,1660.9686082792116,1636.697031614716,1674.2946416880682,1113.5620211854089
0.3,,,,,,,,,,,,,,,,,,,,2115.0225144796495,2034.3046215919103,1860.9868248462417,1736.1322689133283,2012.0029563089,2259.91846515824,1386.4139436545458,2114.7770369318523,1931.664393649364,1245.115999092764,1358.503101732941,1642.553704660591,1792.9150752470675,1273.813078006603,1206.785363926243,960.1127370359139,1124.8297449248887,1038.1540540692413,1142.1253695284313,1000.7722518809909,922.3397233127662,947.7566419762792
0.325,,,,,,,,,,,,,,,,,,2025.0533312486384,2059.7360628329016,2078.97091751818,1896.0373152605646,1644.2378799183855,1688.7344947392207,1827.057964241762,1564.6402249124735,1205.5917590965983,1679.476548787207,1666.714277152175,1394.6382274876971,887.3105219361627,1501.8622855160468,1267.1654158390297,1079.0380544751947,885.144177489685,844.2455171519754,972.6788517114384,914.8992567583039,935.2237303054658,1089.6935410270994,769.1448866777328,959.6617732050945
