zealot,A0,A1
1.0,0.29858499717401726,0.315008662469736
2.0,0.3549938811324893,0.267465183469081
3.0,0.4356237372875092,0.2583192651582713
4.0,0.48881936829341494,0.24476278942416482
5.0,0.5362267340400619,0.24387767460723225
