time,value,zealot,state
283,0.004227342163620834,1.0,0
283,0.005667583546147894,1.0,1
284,0.004267853950554852,1.0,0
284,0.00572100793042025,1.0,1
285,0.004308745152552224,1.0,0
285,0.005774903456002118,1.0,1
286,0.004350018992950247,1.0,0
286,0.00582927377293666,1.0,1
287,0.004391678716832987,1.0,0
287,0.005884122552399299,1.0,1
288,0.004433727591088508,1.0,0
288,0.005939453486728402,1.0,1
289,0.004476168904464847,1.0,0
289,0.005995270289454885,1.0,1
290,0.004519005967624752,1.0,0
290,0.006051576695330668,1.0,1
291,0.004562242113199145,1.0,0
291,0.0061083764603559396,1.0,1
292,0.004605880695839291,1.0,0
292,0.006165673361805263,1.0,1
293,0.004649925092267656,1.0,0
293,0.0062234711982525085,1.0,1
294,0.004694378701327446,1.0,0
294,0.00628177378959457,1.0,1
295,0.004739244944030796,1.0,0
295,0.0063405849770739086,1.0,1
296,0.0047845272636056055,1.0,0
296,0.0063999086232997635,1.0,1
297,0.004830229125540982,1.0,0
297,0.006459748612268278,1.0,1
298,0.004876354017631301,1.0,0
298,0.006520108849381254,1.0,1
299,0.004922905450018848,1.0,0
299,0.006580993261463659,1.0,1
300,0.004969886955235029,1.0,0
300,0.006642405796779918,1.0,1
301,0.005017302088240138,1.0,0
301,0.006704350425048805,1.0,1
302,0.0050651544264616625,1.0,0
302,0.006766831137457133,1.0,1
303,0.0051134475698311095,1.0,0
303,0.006829851946672047,1.0,1
304,0.0051621851408193385,1.0,0
304,0.0068934168868520045,1.0,1
305,0.005211370784470388,1.0,0
305,0.00695753001365642,1.0,1
306,0.005261008168433768,1.0,0
306,0.007022195404253918,1.0,1
307,0.005311100982995235,1.0,0
307,0.007087417157329221,1.0,1
308,0.005361652941105981,1.0,0
308,0.007153199393088641,1.0,1
309,0.005412667778410303,1.0,0
309,0.00721954625326417,1.0,1
310,0.005464149253271634,1.0,0
310,0.007286461901116131,1.0,1
311,0.005516101146797034,1.0,0
311,0.0073539505214343945,1.0,1
312,0.005568527262860034,1.0,0
312,0.007422016320538164,1.0,1
313,0.005621431428121884,1.0,0
313,0.007490663526274244,1.0,1
314,0.005674817492051156,1.0,0
314,0.007559896388013881,1.0,1
315,0.005728689326941718,1.0,0
315,0.00762971917664808,1.0,1
316,0.005783050827929031,1.0,0
316,0.007700136184581364,1.0,1
317,0.005837905913004805,1.0,0
317,0.007771151725724089,1.0,1
318,0.005893258523029952,1.0,0
318,0.007842770135483127,1.0,1
319,0.005949112621745879,1.0,0
319,0.007914995770751035,1.0,1
320,0.006005472195784062,1.0,0
320,0.007987833009893627,1.0,1
321,0.0060623412546739275,1.0,0
321,0.00806128625273595,1.0,1
322,0.006119723830849011,1.0,0
322,0.008135359920546625,1.0,1
323,0.006177623979651412,1.0,0
323,0.008210058456020613,1.0,1
324,0.0062360457793344815,1.0,0
324,0.008285386323260254,1.0,1
325,0.006294993331063805,1.0,0
325,0.008361348007754687,1.0,1
326,0.006354470758916439,1.0,0
326,0.00843794801635759,1.0,1
327,0.006414482209878372,1.0,0
327,0.008515190877263165,1.0,1
328,0.006475031853840249,1.0,0
328,0.008593081139980457,1.0,1
329,0.006536123883591336,1.0,0
329,0.008671623375305876,1.0,1
330,0.006597762514811704,1.0,0
330,0.00875082217529403,1.0,1
331,0.006659951986062645,1.0,0
331,0.008830682153226669,1.0,1
332,0.006722696558775337,1.0,0
332,0.008911207943579916,1.0,1
333,0.006786000517237698,1.0,0
333,0.00899240420198964,1.0,1
334,0.0068498681685794805,1.0,0
334,0.009074275605214975,1.0,1
335,0.006914303842755578,1.0,0
335,0.00915682685109998,1.0,1
336,0.006979311892527563,1.0,0
336,0.009240062658533433,1.0,1
337,0.00704489669344341,1.0,0
337,0.00932398776740664,1.0,1
338,0.007111062643815479,1.0,0
338,0.009408606938569408,1.0,1
339,0.00717781416469667,1.0,0
339,0.00949392495378397,1.0,1
340,0.0072451556998548465,1.0,0
340,0.009579946615676984,1.0,1
341,0.007313091715745422,1.0,0
341,0.009666676747689512,1.0,1
342,0.00738162670148222,1.0,0
342,0.00975412019402491,1.0,1
343,0.007450765168806551,1.0,0
343,0.009842281819594767,1.0,1
344,0.0075205116520544735,1.0,0
344,0.009931166509962655,1.0,1
345,0.0075908707081223555,1.0,0
345,0.0100207791712858,1.0,1
346,0.007661846916430638,1.0,0
346,0.01011112473025467,1.0,1
347,0.00773344487888584,1.0,0
347,0.010202208134030267,1.0,1
348,0.007805669219840843,1.0,0
348,0.010294034350179367,1.0,1
349,0.007878524586053396,1.0,0
349,0.01038660836660739,1.0,1
350,0.007952015646642928,1.0,0
350,0.01047993519148914,1.0,1
351,0.008026147093045607,1.0,0
351,0.010574019853197154,1.0,1
352,0.008100923638967677,1.0,0
352,0.010668867400227808,1.0,1
353,0.008176350020337125,1.0,0
353,0.010764482901124958,1.0,1
354,0.008252430995253614,1.0,0
354,0.010860871444401345,1.0,1
355,0.008329171343936754,1.0,0
355,0.010958038138457441,1.0,1
356,0.008406575868672675,1.0,0
356,0.0110559881114979,1.0,1
357,0.008484649393758986,1.0,0
357,0.0111547265114455,1.0,1
358,0.00856339676544802,1.0,0
358,0.011254258505852578,1.0,1
359,0.008642822851888506,1.0,0
359,0.011354589281809846,1.0,1
360,0.00872293254306558,1.0,0
360,0.011455724045852626,1.0,1
361,0.00880373075073922,1.0,0
361,0.01155766802386446,1.0,1
362,0.008885222408381065,1.0,0
362,0.011660426460977973,1.0,1
363,0.008967412471109682,1.0,0
363,0.011764004621473052,1.0,1
364,0.009050305915624272,1.0,0
364,0.011868407788672253,1.0,1
365,0.009133907740136823,1.0,0
365,0.011973641264833348,1.0,1
366,0.009218222964302782,1.0,0
366,0.012079710371039045,1.0,1
367,0.009303256629150164,1.0,0
367,0.012186620447083804,1.0,1
368,0.009389013797007252,1.0,0
368,0.01229437685135768,1.0,1
369,0.009475499551428783,1.0,0
369,0.012402984960727132,1.0,1
370,0.009562718997120702,1.0,0
370,0.012512450170412874,1.0,1
371,0.009650677259863521,1.0,0
371,0.012622777893864536,1.0,1
372,0.009739379486434269,1.0,0
372,0.012733973562632197,1.0,1
373,0.009828830844527037,1.0,0
373,0.012846042626234757,1.0,1
374,0.009919036522672234,1.0,0
374,0.012958990552024945,1.0,1
375,0.01001000173015445,1.0,0
375,0.013072822825051155,1.0,1
376,0.010101731696929067,1.0,0
376,0.013187544947915781,1.0,1
377,0.010194231673537559,1.0,0
377,0.013303162440630227,1.0,1
378,0.010287506931021557,1.0,0
378,0.013419680840466344,1.0,1
379,0.010381562760835662,1.0,0
379,0.013537105701804416,1.0,1
380,0.010476404474759095,1.0,0
380,0.01365544259597746,1.0,1
381,0.010572037404806136,1.0,0
381,0.013774697111111905,1.0,1
382,0.010668466903135432,1.0,0
382,0.013894874851964579,1.0,1
383,0.010765698341958174,1.0,0
383,0.014015981439755756,1.0,1
384,0.010863737113445222,1.0,0
384,0.014138022511998543,1.0,1
385,0.01096258862963308,1.0,0
385,0.01426100372232423,1.0,1
386,0.011062258322328957,1.0,0
386,0.014384930740303612,1.0,1
387,0.011162751643014682,1.0,0
387,0.014509809251264369,1.0,1
388,0.011264074062749773,1.0,0
388,0.01463564495610423,1.0,1
389,0.011366231072073487,1.0,0
389,0.014762443571099942,1.0,1
390,0.01146922818090593,1.0,0
390,0.014890210827711994,1.0,1
