w,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
0.0,6.009999999999999,5.97,6.044,6.1,5.986000000000001,6.006,6.048000000000001,6.0520000000000005,6.053999999999999,6.09,6.028,6.007999999999999,5.992000000000001,6.007999999999999,5.997999999999999,6.026,6.01,5.997999999999999,5.966,6.018000000000001,6.0760000000000005
0.05,6.018,6.107999999999999,6.082000000000001,6.048000000000001,6.062,6.087999999999999,6.104000000000001,5.994000000000001,6.144000000000001,6.123999999999999,6.07,6.022,5.957999999999999,6.16,6.08,6.064,6.053999999999999,6.03,6.1080000000000005,6.08,6.124
0.1,6.1579999999999995,6.132000000000001,6.186,6.1979999999999995,6.23,6.250000000000001,6.175999999999999,6.174000000000001,6.216,6.170000000000001,6.241999999999999,6.158,6.24,6.256,6.144,6.11,6.29,6.184,6.16,6.1160000000000005,6.215999999999999
0.15,6.2940000000000005,6.24,6.428000000000001,6.246,6.315999999999999,6.218000000000001,6.351999999999999,6.35,6.476000000000002,6.367999999999999,6.422,6.521999999999999,6.458000000000001,6.63,6.5840000000000005,6.55,6.4319999999999995,6.57,6.587999999999999,6.575999999999999,6.667999999999999
0.2,6.231999999999999,6.562,6.4879999999999995,6.428,6.431999999999999,6.507999999999999,6.51,6.554000000000001,6.688,6.854,6.791999999999999,6.448,6.692,6.953999999999999,6.978,6.843999999999999,6.835999999999999,7.1160000000000005,7.114,7.122000000000001,7.112
0.25,6.556,6.369999999999999,6.699999999999999,6.457999999999999,6.686,6.647999999999999,6.812,6.876,6.853999999999998,7.036000000000001,7.082000000000001,7.293999999999999,7.228,7.354,7.254,7.37,7.598000000000001,7.408,7.647999999999999,7.848000000000001,7.712
0.3,6.664000000000001,6.516,6.474,6.662000000000001,6.974,7.0360000000000005,6.901999999999999,6.9639999999999995,7.4879999999999995,7.208000000000001,7.614000000000001,7.816,7.6,7.539999999999999,8.027999999999999,8.058,8.187999999999999,8.072000000000001,8.206000000000001,8.356,8.178
0.35,6.702000000000001,6.86,6.68,6.834,6.9300000000000015,7.0520000000000005,7.266,7.3580000000000005,7.54,8.090000000000002,7.808,8.128,8.092,8.032,8.372,8.395999999999999,8.431999999999999,8.368,8.618,8.832,8.75
0.4,6.76,6.712000000000001,6.911999999999999,6.916,7.074,7.4479999999999995,7.618,8.165999999999999,7.978,7.994,8.624,8.49,8.592,8.728,8.5,8.704,8.726,8.898,9.152000000000001,8.972,9.172
0.45,6.760000000000002,6.9159999999999995,6.901999999999999,7.168000000000001,7.358,7.6,7.870000000000001,8.464,8.674,8.462,8.87,8.918,9.142000000000001,9.074000000000002,8.9,9.178,9.338000000000001,9.294,9.562,9.8,9.510000000000002
0.5,7.0,7.086,7.101999999999999,7.528,7.709999999999999,8.264000000000001,8.43,8.384,8.738,8.986,8.862,9.296,9.533999999999999,9.606,9.540000000000001,9.532,9.825999999999999,9.994,10.02,9.978,9.874
0.55,7.134000000000001,7.093999999999999,7.414,7.425999999999999,8.097999999999999,8.564,8.72,9.302,9.484,9.192,9.456,9.479999999999999,9.458,9.976,9.989999999999998,10.06,10.017999999999999,10.277999999999999,10.302,10.398,10.531999999999998
0.6,7.0520000000000005,7.134000000000001,7.513999999999999,8.012,8.326,8.744000000000002,9.058,9.406,9.916,9.345999999999998,10.158000000000001,10.124,9.938,10.169999999999998,10.216000000000001,10.3,10.856,10.796,10.538,10.798,10.991999999999997
0.65,7.242000000000001,7.5520000000000005,7.686,8.354,8.521999999999998,9.386000000000001,9.784,9.754,9.692,9.934,10.372,10.108,10.568,10.491999999999997,10.636000000000001,10.83,10.628000000000002,10.958,11.306,11.188000000000002,11.034
0.7,7.017999999999998,7.306,7.692,8.371999999999998,9.036,9.342,9.83,9.88,10.25,10.575999999999999,10.592,10.84,10.806000000000001,11.0,11.328,10.937999999999999,11.18,11.474,11.527999999999999,11.53,11.405999999999999
0.75,7.184,7.558,7.8759999999999994,8.864,9.934,9.73,10.196,10.453999999999999,10.714,10.44,10.79,10.829999999999998,11.242,11.702,11.03,11.321999999999997,11.393999999999998,11.52,11.482000000000001,12.016000000000002,11.772000000000002
0.8,7.15,7.574,8.318000000000001,8.598,9.744,9.604,10.469999999999997,10.574000000000002,10.556,11.075999999999999,11.180000000000001,11.212,11.485999999999997,11.468,11.458,11.728,11.774000000000001,11.738,11.769999999999998,12.401999999999997,11.97
0.85,7.0360000000000005,7.975999999999999,8.664,9.345999999999998,9.328,10.498,10.552,10.786,11.19,10.884,11.266000000000002,11.65,11.902000000000003,11.571999999999997,11.859999999999998,11.892000000000001,11.904000000000002,12.026,12.072000000000001,12.561999999999998,12.505999999999998
0.9,7.105999999999999,7.636,8.68,9.134,9.863999999999999,10.483999999999998,10.852,11.126000000000001,11.308000000000002,11.332000000000003,11.782000000000004,11.776000000000002,12.34,12.41,12.03,12.325999999999999,12.134,12.498000000000001,12.724,12.874,13.088
0.95,7.068,7.75,8.53,9.597999999999999,10.277999999999999,10.758,11.36,11.054,11.63,11.845999999999998,11.902000000000001,12.13,11.956000000000001,12.386,12.597999999999999,12.668,12.792000000000003,12.954000000000002,12.786000000000001,12.796,13.01
1.0,6.996,7.676,9.412,9.918000000000001,10.599999999999998,11.576,11.162000000000003,11.648,11.756000000000002,12.143999999999998,12.267999999999999,12.402000000000001,12.424000000000001,12.441999999999998,12.910000000000002,12.761999999999999,12.618,12.895999999999999,13.428000000000003,13.479999999999997,13.77
